Id,Time
198,0
401,0
733,0
330,0
32,0
666,0
440,0
540,0
488,0
132,0
386,0
427,0
521,0
218,0
650,0
470,0
320,0
374,0
236,0
691,0
87,0
255,0
441,0
398,0
275,0
67,0
144,0
648,0
448,0
696,0
764,0
279,0
687,0
380,0
408,0
77,0
742,0
350,0
323,0
306,0
703,0
739,0
339,0
620,0
653,0
234,0
353,0
247,0
204,0
419,0
675,0
454,0
575,0
257,0
230,0
467,0
61,0
162,0
211,0
116,0
682,0
680,0
368,0
767,0
624,0
91,0
710,0
603,0
720,0
160,0
343,0
555,0
726,0
371,0
489,0
583,0
37,0
746,0
357,0
128,0
662,0
83,0
389,0
136,0
266,0
301,0
35,0
52,0
147,0
291,0
104,0
345,0
393,0
659,0
518,0
511,0
171,0
757,0
670,0
477,0
614,0
74,0
15,0
752,0
364,0
123,0
436,0
17,0
578,0
431,0
272,0
589,0
639,0
496,0
551,0
71,0
587,0
194,0
23,0
566,0
327,0
168,0
120,0
499,0
503,0
285,0
529,0
239,0
109,0
299,0
452,0
46,0
636,0
262,0
54,0
315,0
599,0
721,0
182,0
606,0
152,0
626,0
462,0
9,0
282,0
189,0
243,0
191,0
542,0
213,0
97,0
569,0
505,0
409,0
715,0
334,0
513,0
416,0
382,0
249,0
309,0
699,0
676,0
178,0
473,0
43,0
205,0
138,0
26,0
644,0
107,0
93,0
548,0
223,0
562,0
293,0
226,0
58,0
535,0
610,0
730,0
708,0
559,0
176,0
483,0
3,0
460,0
153,0
424,0
593,0
6,0
188,0
629,0
755,0
526,0
88,1
30,1
141,1
665,1
695,1
277,1
690,1
379,1
425,1
68,1
702,1
654,1
233,1
235,1
203,1
245,1
258,1
375,1
679,1
378,1
766,1
86,1
209,1
159,1
369,1
554,1
581,1
736,1
747,1
359,1
125,1
667,1
661,1
663,1
81,1
387,1
391,1
304,1
302,1
303,1
292,1
254,1
348,1
338,1
40,1
394,1
622,1
523,1
760,1
759,1
468,1
619,1
103,1
762,1
366,1
121,1
435,1
445,1
18,1
430,1
321,1
580,1
638,1
522,1
550,1
586,1
582,1
201,1
33,1
568,1
166,1
118,1
497,1
504,1
276,1
286,1
238,1
110,1
47,1
634,1
677,1
267,1
263,1
314,1
316,1
598,1
724,1
169,1
287,1
461,1
192,1
530,1
190,1
579,1
172,1
100,1
552,1
570,1
571,1
392,1
713,1
716,1
336,1
464,1
514,1
465,1
242,1
268,1
310,1
311,1
697,1
694,1
673,1
674,1
685,1
177,1
180,1
456,1
474,1
475,1
42,1
38,1
208,1
196,1
206,1
137,1
167,1
55,1
642,1
643,1
102,1
84,1
545,1
252,1
294,1
295,1
59,1
506,1
607,1
384,1
731,1
706,1
707,1
717,1
557,1
225,1
174,1
175,1
446,1
2,1
457,1
459,1
501,1
146,1
421,1
422,1
544,1
11,1
5,1
7,1
185,1
187,1
229,1
588,1
718,1
563,1
85,2
29,2
31,2
142,2
143,2
693,2
280,2
278,2
689,2
692,2
377,2
426,2
428,2
65,2
66,2
704,2
701,2
656,2
655,2
216,2
202,2
248,2
246,2
259,2
260,2
376,2
373,2
678,2
768,2
765,2
210,2
212,2
157,2
158,2
370,2
372,2
553,2
556,2
584,2
734,2
735,2
745,2
748,2
360,2
358,2
126,2
127,2
668,2
664,2
82,2
385,2
388,2
390,2
289,2
290,2
256,2
253,2
346,2
347,2
337,2
340,2
39,2
395,2
396,2
621,2
623,2
524,2
758,2
466,2
617,2
618,2
761,2
763,2
365,2
367,2
122,2
124,2
433,2
434,2
447,2
19,2
20,2
432,2
429,2
322,2
324,2
577,2
640,2
637,2
549,2
585,2
34,2
36,2
565,2
567,2
165,2
117,2
119,2
498,2
500,2
502,2
273,2
274,2
288,2
240,2
237,2
112,2
111,2
48,2
45,2
633,2
635,2
265,2
264,2
261,2
313,2
600,2
597,2
722,2
723,2
170,2
463,2
531,2
532,2
227,2
98,2
572,2
714,2
333,2
335,2
515,2
516,2
241,2
244,2
312,2
698,2
700,2
688,2
686,2
179,2
453,2
455,2
476,2
41,2
44,2
207,2
193,2
195,2
139,2
140,2
56,2
53,2
641,2
101,2
546,2
547,2
250,2
251,2
296,2
57,2
60,2
507,2
508,2
608,2
605,2
381,2
383,2
729,2
732,2
705,2
719,2
560,2
558,2
228,2
173,2
1,2
4,2
458,2
145,2
148,2
423,2
541,2
543,2
10,2
12,2
8,2
186,2
232,2
231,2
561,2
564,2
482,3
652,3
283,3
469,3
16,3
63,3
753,3
658,3
214,3
215,3
222,3
269,3
332,3
683,3
756,3
221,3
536,3
601,3
738,3
728,3
750,3
363,3
163,3
130,3
709,3
671,3
79,3
397,3
297,3
305,3
342,3
298,3
349,3
437,3
612,3
616,3
647,3
744,3
356,3
151,3
95,3
450,3
21,3
471,3
420,3
319,3
628,3
528,3
76,3
90,3
495,3
509,3
224,3
271,3
625,3
161,3
114,3
630,3
281,3
220,3
199,3
494,3
99,3
105,3
613,3
743,3
478,3
525,3
329,3
727,3
741,3
737,3
412,3
517,3
24,3
154,3
134,3
181,3
73,3
592,3
510,3
50,3
657,3
596,3
712,3
609,3
595,3
164,3
13,3
487,3
106,3
49,3
25,3
538,3
512,3
573,3
484,4
649,4
651,4
472,4
14,4
64,4
62,4
754,4
660,4
219,4
270,4
331,4
681,4
684,4
533,4
534,4
602,4
604,4
740,4
725,4
749,4
751,4
361,4
362,4
129,4
131,4
711,4
672,4
669,4
80,4
78,4
400,4
399,4
300,4
307,4
308,4
344,4
341,4
352,4
351,4
438,4
439,4
611,4
615,4
645,4
646,4
354,4
355,4
149,4
150,4
96,4
94,4
449,4
451,4
22,4
417,4
418,4
317,4
318,4
627,4
527,4
75,4
89,4
493,4
113,4
115,4
632,4
631,4
284,4
217,4
200,4
197,4
108,4
480,4
479,4
410,4
411,4
520,4
519,4
155,4
156,4
133,4
135,4
184,4
183,4
590,4
591,4
51,4
594,4
486,4
27,4
28,4
537,4
539,4
576,4
574,4
481,5
326,5
328,5
492,5
402,5
443,5
414,5
407,5
415,5
70,5
72,5
92,5
325,5
406,5
442,5
490,5
491,5
485,5
69,5
403,6
404,6
444,6
413,6
405,6
