Id,Time
244,0
427,0
1271,0
1306,0
712,0
958,0
817,0
1044,0
1450,0
1051,0
881,0
410,0
941,0
868,0
237,0
123,0
1399,0
61,0
485,0
1289,0
1261,0
277,0
624,0
249,0
959,0
794,0
1349,0
847,0
1416,0
1241,0
709,0
26,0
827,0
29,0
1122,0
634,0
1372,0
875,0
706,0
869,0
1414,0
838,0
583,0
1439,0
221,0
294,0
352,0
836,0
1034,0
243,0
1304,0
433,0
1002,0
1098,0
1191,0
469,0
921,0
1298,0
855,0
1138,0
809,0
820,0
173,0
791,0
1455,0
186,0
1038,0
1425,0
915,0
1358,0
1196,0
1129,0
1350,0
1327,0
320,0
883,0
130,0
1248,0
1029,0
156,0
890,0
860,0
594,0
295,0
402,0
465,0
966,0
699,0
1136,0
208,0
1176,0
1008,0
1363,0
1047,0
1035,0
407,0
462,0
1162,0
4,0
662,0
1166,0
201,0
690,0
793,0
436,0
600,0
645,0
1443,0
1137,0
1070,0
417,0
880,0
837,0
510,0
101,0
987,0
672,0
489,0
683,0
176,0
1187,0
1305,0
651,0
146,0
743,0
286,0
846,0
170,0
1253,0
1342,0
534,0
693,0
630,0
72,0
612,0
284,0
520,0
573,0
674,0
873,0
415,0
1254,0
896,0
91,0
648,0
858,0
33,0
1110,0
1393,0
81,0
87,0
404,0
923,0
646,0
1405,0
913,0
670,0
428,0
1032,0
537,0
950,0
1211,0
1092,0
944,0
296,0
810,0
974,0
870,0
1268,0
319,0
778,0
182,0
546,0
525,0
934,0
12,0
418,0
1276,0
479,0
168,0
304,0
362,0
127,0
584,0
142,0
1144,0
470,0
262,0
1003,0
374,0
681,0
1043,0
387,0
1308,0
88,0
345,0
925,0
203,0
480,0
790,0
1027,0
1379,0
1255,0
403,0
348,0
787,0
625,0
259,0
850,0
1009,0
1344,0
782,0
949,0
414,0
619,0
735,0
777,0
564,0
195,0
265,0
1091,0
1266,0
1061,0
461,0
581,0
1224,0
344,0
97,0
792,0
49,0
871,0
751,0
1165,0
1299,0
636,0
877,0
801,0
1302,0
971,0
162,0
1059,0
502,0
1080,0
355,0
1333,0
1321,0
187,0
434,0
196,0
1024,0
644,0
108,0
967,0
490,0
160,0
254,0
1159,0
1285,0
605,0
529,0
685,0
1460,0
200,0
946,0
503,0
1169,0
711,0
540,0
1406,0
1361,0
1205,0
663,0
44,0
305,0
140,0
512,0
333,0
927,0
1131,0
964,0
656,0
125,0
1173,0
1178,0
267,0
181,0
1262,0
1346,0
28,0
1000,0
329,0
1120,0
756,0
1071,0
613,0
1239,0
361,0
1312,0
1413,0
356,0
885,0
132,0
1022,0
1397,0
364,0
496,0
121,0
80,0
1094,0
1362,0
1360,0
576,0
321,0
413,0
1438,0
550,0
649,0
1247,0
770,0
1086,0
976,0
1403,0
308,0
1085,0
318,0
979,0
135,0
460,0
841,0
616,0
506,0
661,0
35,0
443,0
62,0
509,0
1388,0
1357,0
42,0
